session,mp_name,constituency,days_attended
2,pushpendrasinghchandel,hamirpur,26
2,anshulverma,hardoi,25
2,rameshpokhriyalnishank,hardwar,25
2,hddevegowda,hassan,23
2,rajeshdiwakar,hathras,27
2,rajushetti,hatkanangle,20
2,shivkumarcudasi,haveri,26
2,jayantsinha,hazaribagh,26
2,kristappanimmala,hindupur,24
2,rajeevshankarraosatav,hingoli,24
2,dushyantchautala,hisar,22
2,ratnadenag,hooghly,24
2,udaypratapsingh,hoshangabad,19
2,vijaysampla,hoshiarpur,27
2,prasunbanerjee,howrah,11
2,asaduddinowaisi,hyderabad,22
2,advocatejoicegeorge,idukki,22
2,thokchommeinya,innermanipur,27
2,rakeshsingh,jabalpur,26
2,sugatabose,jadavpur,25
2,kulamanisamal,jagatsinghpur,27
2,arunkumar,jahanabad,18
2,ramcharanbohara,jaipur,26
2,rajyavardhansinghrathore,jaipurrural,25
2,ritatarai,jajpur,27
2,santokhsinghchaudhary,jalandhar,27
2,bhanupratapsinghverma,jalaun,26
2,atnanapatil,jalgaon,26
2,raosahebdanvepatil,jalna,25
2,devjimansingrampatel,jalore,25
2,bijoychandrabarman,jalpaiguri,18
